,empo_1,empo_2,empo_3
training_196,Free-living,Non-saline,Water (non-saline)
training_197,Free-living,Non-saline,Water (non-saline)
training_198,Free-living,Saline,Sediment (saline)
training_199,Host-associated,Animal,Animal surface
training_200,Host-associated,Animal,Animal distal gut
training_201,Host-associated,Plant,Plant corpus
training_202,Host-associated,Animal,Animal surface
training_203,Host-associated,Animal,Animal distal gut
training_204,Free-living,Non-saline,Surface (non-saline)
training_205,Free-living,Non-saline,Soil (non-saline)
training_206,Free-living,Non-saline,Soil (non-saline)
training_207,Free-living,Non-saline,Soil (non-saline)
training_208,Free-living,Non-saline,Water (non-saline)
training_209,Free-living,Saline,Sediment (saline)
training_210,Free-living,Non-saline,Sediment (non-saline)
training_211,Free-living,Non-saline,Water (non-saline)
training_212,Host-associated,Animal,Animal surface
training_213,Host-associated,Animal,Animal distal gut
training_214,Host-associated,Animal,Animal secretion
training_215,Free-living,Non-saline,Soil (non-saline)
training_216,Host-associated,Animal,Animal surface
training_217,Host-associated,Animal,Animal surface
training_218,Host-associated,Animal,Animal distal gut
training_219,Host-associated,Animal,Animal surface
training_220,Host-associated,Animal,Animal surface
training_221,Host-associated,Animal,Animal surface
training_222,Host-associated,Animal,Animal distal gut
training_223,Host-associated,Animal,Animal distal gut
training_224,Free-living,Non-saline,Surface (non-saline)
training_225,Free-living,Non-saline,Soil (non-saline)
training_226,Free-living,Saline,Sediment (saline)
training_227,Free-living,Non-saline,Soil (non-saline)
training_228,Free-living,Non-saline,Soil (non-saline)
training_229,Host-associated,Animal,Animal distal gut
training_230,Free-living,Non-saline,Soil (non-saline)
training_231,Free-living,Non-saline,Water (non-saline)
training_232,Host-associated,Animal,Animal surface
training_233,Host-associated,Plant,Plant surface
training_234,Free-living,Non-saline,Soil (non-saline)
training_235,Host-associated,Animal,Animal surface
training_236,Free-living,Non-saline,Soil (non-saline)
training_237,Host-associated,Animal,Animal surface
training_238,Host-associated,Animal,Animal secretion
training_239,Free-living,Non-saline,Water (non-saline)
training_240,Free-living,Non-saline,Water (non-saline)
training_241,Free-living,Non-saline,Soil (non-saline)
training_242,Host-associated,Animal,Animal distal gut
training_243,Free-living,Non-saline,Soil (non-saline)
training_244,Free-living,Non-saline,Water (non-saline)
training_245,Host-associated,Plant,Plant surface
training_246,Host-associated,Animal,Animal distal gut
training_247,Host-associated,Animal,Animal distal gut
training_248,Host-associated,Animal,Animal distal gut
training_249,Free-living,Non-saline,Water (non-saline)
training_250,Host-associated,Plant,Plant rhizosphere
training_251,Host-associated,Animal,Animal distal gut
training_252,Free-living,Non-saline,Water (non-saline)
training_253,Free-living,Non-saline,Soil (non-saline)
training_254,Free-living,Non-saline,Water (non-saline)
training_255,Host-associated,Plant,Plant surface
training_256,Free-living,Non-saline,Water (non-saline)
training_257,Host-associated,Animal,Animal distal gut
training_258,Free-living,Non-saline,Surface (non-saline)
training_259,Host-associated,Animal,Animal distal gut
training_260,Free-living,Non-saline,Soil (non-saline)
training_261,Free-living,Non-saline,Water (non-saline)
training_262,Host-associated,Animal,Animal distal gut
training_263,Host-associated,Plant,Plant surface
training_264,Host-associated,Animal,Animal proximal gut
training_265,Host-associated,Animal,Animal distal gut
training_266,Free-living,Non-saline,Surface (non-saline)
training_267,Free-living,Non-saline,Water (non-saline)
training_268,Free-living,Non-saline,Water (non-saline)
training_269,Host-associated,Plant,Plant surface
training_270,Free-living,Saline,Water (saline)
training_271,Host-associated,Animal,Animal distal gut
training_272,Free-living,Non-saline,Soil (non-saline)
training_273,Free-living,Saline,Water (saline)
training_274,Free-living,Non-saline,Water (non-saline)
training_275,Free-living,Non-saline,Surface (non-saline)
training_276,Host-associated,Plant,Plant surface
training_277,Host-associated,Animal,Animal distal gut
training_278,Free-living,Non-saline,Water (non-saline)
training_279,Free-living,Non-saline,Sediment (non-saline)
training_280,Host-associated,Plant,Plant surface
training_281,Free-living,Non-saline,Water (non-saline)
training_282,Free-living,Non-saline,Water (non-saline)
training_283,Host-associated,Animal,Animal surface
training_284,Host-associated,Plant,Plant surface
training_285,Host-associated,Animal,Animal distal gut
training_286,Free-living,Non-saline,Soil (non-saline)
training_287,Host-associated,Animal,Animal surface
training_288,Free-living,Non-saline,Soil (non-saline)
training_289,Free-living,Non-saline,Surface (non-saline)
training_290,Free-living,Non-saline,Soil (non-saline)
training_291,Free-living,Non-saline,Soil (non-saline)
training_292,Host-associated,Animal,Animal corpus
training_293,Host-associated,Plant,Plant rhizosphere
training_294,Free-living,Non-saline,Soil (non-saline)
training_295,Free-living,Non-saline,Soil (non-saline)
training_296,Host-associated,Animal,Animal proximal gut
training_297,Host-associated,Animal,Animal surface
training_298,Free-living,Non-saline,Surface (non-saline)
training_299,Host-associated,Animal,Animal surface
training_300,Free-living,Non-saline,Water (non-saline)
training_301,Host-associated,Animal,Animal distal gut
training_302,Free-living,Non-saline,Soil (non-saline)
training_303,Free-living,Non-saline,Surface (non-saline)
training_304,Free-living,Non-saline,Water (non-saline)
training_305,Host-associated,Animal,Animal distal gut
training_306,Free-living,Non-saline,Soil (non-saline)
training_307,Free-living,Non-saline,Soil (non-saline)
training_308,Host-associated,Animal,Animal surface
training_309,Host-associated,Animal,Animal surface
training_310,Host-associated,Animal,Animal distal gut
training_311,Free-living,Non-saline,Surface (non-saline)
training_312,Host-associated,Animal,Animal surface
training_313,Host-associated,Animal,Animal distal gut
training_314,Host-associated,Plant,Plant surface
training_315,Free-living,Non-saline,Water (non-saline)
training_316,Free-living,Non-saline,Soil (non-saline)
training_317,Host-associated,Animal,Animal distal gut
training_318,Free-living,Non-saline,Soil (non-saline)
training_319,Host-associated,Animal,Animal surface
training_320,Free-living,Non-saline,Soil (non-saline)
training_321,Free-living,Non-saline,Water (non-saline)
training_322,Free-living,Non-saline,Water (non-saline)
training_323,Host-associated,Plant,Plant surface
training_324,Host-associated,Animal,Animal distal gut
training_325,Host-associated,Animal,Animal surface
training_326,Free-living,Non-saline,Water (non-saline)
training_327,Free-living,Non-saline,Water (non-saline)
training_328,Free-living,Non-saline,Surface (non-saline)
training_329,Host-associated,Animal,Animal surface
training_330,Free-living,Non-saline,Soil (non-saline)
training_331,Free-living,Non-saline,Water (non-saline)
training_332,Free-living,Non-saline,Soil (non-saline)
training_333,Free-living,Non-saline,Water (non-saline)
training_334,Host-associated,Animal,Animal corpus
training_335,Free-living,Non-saline,Water (non-saline)
training_336,Host-associated,Plant,Plant rhizosphere
training_337,Host-associated,Animal,Animal distal gut
training_338,Host-associated,Animal,Animal distal gut
training_339,Free-living,Non-saline,Soil (non-saline)
training_340,Host-associated,Animal,Animal surface
training_341,Free-living,Non-saline,Soil (non-saline)
training_342,Free-living,Non-saline,Sediment (non-saline)
training_343,Free-living,Non-saline,Water (non-saline)
training_344,Free-living,Saline,Sediment (saline)
training_345,Free-living,Non-saline,Sediment (non-saline)
training_346,Host-associated,Plant,Plant surface
training_347,Host-associated,Animal,Animal secretion
training_348,Free-living,Saline,Surface (saline)
training_349,Free-living,Non-saline,Water (non-saline)
training_350,Free-living,Non-saline,Soil (non-saline)
training_351,Host-associated,Animal,Animal surface
training_352,Free-living,Non-saline,Soil (non-saline)
training_353,Free-living,Non-saline,Water (non-saline)
training_354,Free-living,Non-saline,Soil (non-saline)
training_355,Host-associated,Animal,Animal distal gut
training_356,Host-associated,Animal,Animal distal gut
training_357,Host-associated,Animal,Animal distal gut
training_358,Free-living,Non-saline,Soil (non-saline)
training_359,Free-living,Non-saline,Sediment (non-saline)
training_360,Free-living,Non-saline,Water (non-saline)
training_361,Free-living,Non-saline,Sediment (non-saline)
training_362,Free-living,Non-saline,Soil (non-saline)
training_363,Host-associated,Animal,Animal distal gut
training_364,Free-living,Non-saline,Water (non-saline)
training_365,Free-living,Non-saline,Water (non-saline)
training_366,Host-associated,Plant,Plant rhizosphere
training_367,Host-associated,Plant,Plant surface
training_368,Free-living,Non-saline,Soil (non-saline)
training_369,Host-associated,Plant,Plant rhizosphere
training_370,Host-associated,Animal,Animal distal gut
training_371,Host-associated,Animal,Animal secretion
training_372,Free-living,Saline,Sediment (saline)
training_373,Host-associated,Animal,Animal secretion
training_374,Host-associated,Animal,Animal secretion
training_375,Free-living,Non-saline,Water (non-saline)
training_376,Free-living,Non-saline,Water (non-saline)
training_377,Host-associated,Plant,Plant surface
training_378,Host-associated,Animal,Animal distal gut
training_379,Host-associated,Animal,Animal surface
training_380,Host-associated,Animal,Animal distal gut
training_381,Free-living,Non-saline,Soil (non-saline)
training_382,Free-living,Non-saline,Water (non-saline)
training_383,Host-associated,Animal,Animal distal gut
training_384,Host-associated,Animal,Animal surface
training_385,Host-associated,Plant,Plant surface
training_386,Host-associated,Animal,Animal surface
training_387,Host-associated,Animal,Animal secretion
training_388,Host-associated,Animal,Animal distal gut
training_389,Free-living,Non-saline,Soil (non-saline)
training_390,Free-living,Non-saline,Soil (non-saline)
training_391,Free-living,Non-saline,Surface (non-saline)
training_392,Free-living,Non-saline,Surface (non-saline)
training_393,Free-living,Saline,Water (saline)
training_394,Free-living,Non-saline,Soil (non-saline)
training_395,Host-associated,Animal,Animal surface
training_396,Host-associated,Animal,Animal distal gut
training_397,Host-associated,Plant,Plant rhizosphere
training_398,Free-living,Non-saline,Soil (non-saline)
training_399,Free-living,Non-saline,Water (non-saline)
training_400,Free-living,Non-saline,Water (non-saline)
training_401,Free-living,Non-saline,Sediment (non-saline)
training_402,Free-living,Non-saline,Water (non-saline)
training_403,Free-living,Non-saline,Water (non-saline)
training_404,Free-living,Non-saline,Soil (non-saline)
training_405,Host-associated,Animal,Animal distal gut
training_406,Host-associated,Animal,Animal distal gut
training_407,Host-associated,Animal,Animal corpus
training_408,Free-living,Non-saline,Water (non-saline)
training_409,Free-living,Non-saline,Water (non-saline)
training_410,Host-associated,Plant,Plant corpus
training_411,Free-living,Non-saline,Soil (non-saline)
training_412,Free-living,Non-saline,Water (non-saline)
training_413,Host-associated,Animal,Animal distal gut
training_414,Free-living,Non-saline,Soil (non-saline)
training_415,Free-living,Non-saline,Water (non-saline)
training_416,Host-associated,Plant,Plant rhizosphere
training_417,Host-associated,Plant,Plant surface
training_418,Free-living,Non-saline,Sediment (non-saline)
training_419,Free-living,Non-saline,Soil (non-saline)
training_420,Free-living,Saline,Surface (saline)
training_421,Free-living,Non-saline,Water (non-saline)
training_422,Host-associated,Animal,Animal surface
training_423,Free-living,Non-saline,Soil (non-saline)
training_424,Host-associated,Animal,Animal distal gut
training_425,Host-associated,Plant,Plant surface
training_426,Free-living,Non-saline,Surface (non-saline)
training_427,Host-associated,Animal,Animal surface
training_428,Free-living,Non-saline,Soil (non-saline)
training_429,Host-associated,Plant,Plant surface
training_430,Host-associated,Animal,Animal surface
training_431,Free-living,Non-saline,Surface (non-saline)
training_432,Free-living,Non-saline,Water (non-saline)
training_433,Host-associated,Animal,Animal distal gut
training_434,Host-associated,Plant,Plant surface
training_435,Free-living,Non-saline,Soil (non-saline)
training_436,Host-associated,Animal,Animal surface
training_437,Host-associated,Animal,Animal secretion
training_438,Host-associated,Plant,Plant surface
training_439,Host-associated,Animal,Animal distal gut
training_440,Host-associated,Animal,Animal secretion
training_441,Free-living,Non-saline,Soil (non-saline)
training_442,Host-associated,Animal,Animal surface
training_443,Free-living,Non-saline,Water (non-saline)
training_444,Free-living,Non-saline,Water (non-saline)
training_445,Host-associated,Plant,Plant corpus
training_446,Free-living,Non-saline,Soil (non-saline)
training_447,Host-associated,Animal,Animal proximal gut
training_448,Free-living,Non-saline,Water (non-saline)
training_449,Free-living,Non-saline,Water (non-saline)
training_450,Host-associated,Animal,Animal distal gut
training_451,Free-living,Non-saline,Water (non-saline)
training_452,Host-associated,Animal,Animal distal gut
training_453,Free-living,Non-saline,Water (non-saline)
training_454,Free-living,Non-saline,Sediment (non-saline)
training_455,Host-associated,Animal,Animal corpus
training_456,Host-associated,Animal,Animal surface
training_457,Free-living,Non-saline,Soil (non-saline)
training_458,Host-associated,Plant,Plant surface
training_459,Host-associated,Animal,Animal distal gut
training_460,Host-associated,Animal,Animal secretion
training_461,Free-living,Non-saline,Water (non-saline)
training_462,Host-associated,Animal,Animal surface
training_463,Host-associated,Animal,Animal distal gut
training_464,Free-living,Non-saline,Sediment (non-saline)
training_465,Host-associated,Animal,Animal distal gut
training_466,Host-associated,Animal,Animal surface
training_467,Free-living,Non-saline,Water (non-saline)
training_468,Host-associated,Animal,Animal distal gut
training_469,Free-living,Non-saline,Soil (non-saline)
training_470,Host-associated,Animal,Animal secretion
training_471,Free-living,Non-saline,Soil (non-saline)
training_472,Free-living,Non-saline,Soil (non-saline)
training_473,Host-associated,Animal,Animal corpus
training_474,Host-associated,Animal,Animal distal gut
training_475,Free-living,Non-saline,Soil (non-saline)
training_476,Free-living,Non-saline,Soil (non-saline)
training_477,Free-living,Non-saline,Water (non-saline)
training_478,Free-living,Non-saline,Water (non-saline)
training_479,Free-living,Non-saline,Water (non-saline)
training_480,Host-associated,Animal,Animal distal gut
training_481,Free-living,Non-saline,Water (non-saline)
training_482,Free-living,Non-saline,Soil (non-saline)
training_483,Free-living,Non-saline,Water (non-saline)
training_484,Host-associated,Animal,Animal distal gut
training_485,Free-living,Non-saline,Surface (non-saline)
training_486,Host-associated,Animal,Animal surface
training_487,Free-living,Non-saline,Water (non-saline)
training_488,Host-associated,Animal,Animal distal gut
training_489,Free-living,Non-saline,Soil (non-saline)
training_490,Host-associated,Animal,Animal secretion
training_491,Host-associated,Animal,Animal distal gut
training_492,Free-living,Non-saline,Soil (non-saline)
training_493,Free-living,Non-saline,Surface (non-saline)
training_494,Host-associated,Animal,Animal distal gut
training_495,Free-living,Saline,Sediment (saline)
training_496,Host-associated,Animal,Animal surface
training_497,Host-associated,Animal,Animal distal gut
training_498,Host-associated,Animal,Animal distal gut
training_499,Free-living,Non-saline,Sediment (non-saline)
training_500,Free-living,Non-saline,Surface (non-saline)
training_501,Free-living,Non-saline,Soil (non-saline)
training_502,Free-living,Non-saline,Surface (non-saline)
training_503,Free-living,Saline,Water (saline)
training_504,Host-associated,Animal,Animal surface
training_505,Host-associated,Animal,Animal proximal gut
training_506,Host-associated,Plant,Plant corpus
training_507,Free-living,Non-saline,Water (non-saline)
training_508,Host-associated,Animal,Animal surface
training_509,Free-living,Saline,Water (saline)
training_510,Host-associated,Plant,Plant surface
training_511,Host-associated,Animal,Animal distal gut
training_512,Free-living,Non-saline,Water (non-saline)
training_513,Host-associated,Animal,Animal distal gut
training_514,Free-living,Saline,Water (saline)
training_515,Host-associated,Animal,Animal surface
training_516,Free-living,Non-saline,Soil (non-saline)
training_517,Free-living,Non-saline,Water (non-saline)
training_518,Host-associated,Animal,Animal distal gut
training_519,Free-living,Non-saline,Soil (non-saline)
training_520,Host-associated,Plant,Plant surface
training_521,Host-associated,Plant,Plant surface
training_522,Free-living,Non-saline,Water (non-saline)
training_523,Free-living,Non-saline,Soil (non-saline)
training_524,Free-living,Non-saline,Soil (non-saline)
training_525,Host-associated,Animal,Animal distal gut
training_526,Free-living,Non-saline,Soil (non-saline)
training_527,Free-living,Non-saline,Water (non-saline)
training_528,Host-associated,Animal,Animal secretion
training_529,Host-associated,Animal,Animal distal gut
training_530,Free-living,Non-saline,Water (non-saline)
training_531,Host-associated,Animal,Animal distal gut
training_532,Host-associated,Animal,Animal distal gut
training_533,Host-associated,Animal,Animal distal gut
training_534,Free-living,Non-saline,Surface (non-saline)
training_535,Free-living,Non-saline,Water (non-saline)
training_536,Free-living,Non-saline,Water (non-saline)
training_537,Host-associated,Animal,Animal proximal gut
training_538,Host-associated,Animal,Animal distal gut
training_539,Free-living,Non-saline,Surface (non-saline)
training_540,Free-living,Non-saline,Water (non-saline)
training_541,Free-living,Non-saline,Water (non-saline)
training_542,Host-associated,Animal,Animal proximal gut
training_543,Free-living,Non-saline,Soil (non-saline)
training_544,Free-living,Saline,Sediment (saline)
training_545,Free-living,Non-saline,Water (non-saline)
training_546,Free-living,Non-saline,Water (non-saline)
training_547,Host-associated,Animal,Animal distal gut
training_548,Free-living,Non-saline,Water (non-saline)
training_549,Free-living,Non-saline,Water (non-saline)
training_550,Free-living,Non-saline,Water (non-saline)
training_551,Host-associated,Animal,Animal distal gut
training_552,Free-living,Non-saline,Surface (non-saline)
training_553,Host-associated,Animal,Animal secretion
training_554,Host-associated,Animal,Animal secretion
training_555,Free-living,Non-saline,Soil (non-saline)
training_556,Host-associated,Animal,Animal surface
training_557,Free-living,Non-saline,Water (non-saline)
training_558,Free-living,Non-saline,Surface (non-saline)
training_559,Host-associated,Animal,Animal surface
training_560,Host-associated,Animal,Animal distal gut
training_561,Free-living,Non-saline,Water (non-saline)
training_562,Free-living,Non-saline,Water (non-saline)
training_563,Host-associated,Animal,Animal secretion
training_564,Free-living,Non-saline,Soil (non-saline)
training_565,Host-associated,Plant,Plant surface
training_566,Host-associated,Animal,Animal distal gut
training_567,Host-associated,Animal,Animal secretion
training_568,Free-living,Non-saline,Soil (non-saline)
training_569,Host-associated,Animal,Animal surface
training_570,Host-associated,Animal,Animal secretion
training_571,Free-living,Non-saline,Water (non-saline)
training_572,Host-associated,Plant,Plant surface
training_573,Host-associated,Animal,Animal secretion
training_574,Free-living,Non-saline,Soil (non-saline)
training_575,Host-associated,Animal,Animal surface
training_576,Free-living,Non-saline,Water (non-saline)
training_577,Host-associated,Animal,Animal surface
training_578,Free-living,Non-saline,Surface (non-saline)
training_579,Free-living,Non-saline,Water (non-saline)
training_580,Host-associated,Animal,Animal distal gut
training_581,Free-living,Non-saline,Water (non-saline)
training_582,Host-associated,Animal,Animal distal gut
training_583,Free-living,Non-saline,Soil (non-saline)
training_584,Free-living,Non-saline,Soil (non-saline)
training_585,Free-living,Non-saline,Surface (non-saline)
training_586,Free-living,Non-saline,Water (non-saline)
training_587,Host-associated,Animal,Animal distal gut
training_588,Free-living,Non-saline,Water (non-saline)
training_589,Free-living,Saline,Sediment (saline)
training_590,Free-living,Non-saline,Soil (non-saline)
training_591,Free-living,Non-saline,Water (non-saline)
training_592,Free-living,Non-saline,Water (non-saline)
training_593,Free-living,Non-saline,Soil (non-saline)
training_594,Free-living,Non-saline,Soil (non-saline)
training_595,Host-associated,Animal,Animal surface
training_596,Free-living,Non-saline,Soil (non-saline)
training_597,Free-living,Non-saline,Soil (non-saline)
training_598,Free-living,Non-saline,Soil (non-saline)
training_599,Free-living,Non-saline,Soil (non-saline)
training_600,Host-associated,Plant,Plant rhizosphere
training_601,Host-associated,Animal,Animal secretion
training_602,Host-associated,Plant,Plant corpus
training_603,Free-living,Non-saline,Soil (non-saline)
training_604,Host-associated,Animal,Animal distal gut
training_605,Host-associated,Plant,Plant surface
training_606,Free-living,Non-saline,Surface (non-saline)
training_607,Free-living,Non-saline,Water (non-saline)
training_608,Host-associated,Plant,Plant rhizosphere
training_609,Host-associated,Animal,Animal distal gut
training_610,Free-living,Non-saline,Soil (non-saline)
training_611,Free-living,Non-saline,Water (non-saline)
